,ASSAULT,AUTOTHEFT,BIKETHEFT,BREAKENTER,ROBBERY,THEFTFROMMV,THEFTOVER
ASSAULT,0.0,-0.18033145556353275,0.27693011331155126,0.16642914823557708,-0.004776392965154641,-0.1097880756931432,0.020626667989991132
AUTOTHEFT,-0.18033145556353275,0.0,-0.040122731364592185,-0.1761037197173927,-0.16553567401332492,0.40994093040057533,-0.03917463565812629
BIKETHEFT,0.27693011331155126,-0.040122731364592185,0.0,0.2665221564533785,0.30343714396568944,-0.3540053026342262,0.2330556783283383
BREAKENTER,0.16642914823557708,-0.1761037197173927,0.2665221564533785,0.0,0.14518472483335165,-0.026990470418331358,0.01764943230486915
ROBBERY,-0.004776392965154641,-0.16553567401332492,0.30343714396568944,0.14518472483335165,0.0,0.0025611894180225248,0.07822253045890393
THEFTFROMMV,-0.1097880756931432,0.40994093040057533,-0.3540053026342262,-0.026990470418331358,0.0025611894180225248,0.0,0.15522497809918545
THEFTOVER,0.020626667989991132,-0.03917463565812629,0.2330556783283383,0.01764943230486915,0.07822253045890393,0.15522497809918545,0.0
