,ASSAULT_2021,AUTOTHEFT_2021,BIKETHEFT_2021,BREAKENTER_2021,ROBBERY_2021,THEFTFROMMV_2021,THEFTOVER_2021
ASSAULT_2021,1.0,0.21929923347373065,0.6867697519563505,0.7986619231359058,0.8359682529032599,0.5435166703469044,0.6238554874326991
AUTOTHEFT_2021,0.21929923347373065,1.0,-0.07706383963513208,0.26004607575372807,0.3224771297417173,0.8064435986336773,0.6331834445671114
BIKETHEFT_2021,0.6867697519563505,-0.07706383963513208,1.0,0.8045995405629831,0.6241452892239003,0.20543909911510433,0.5455307538812756
BREAKENTER_2021,0.7986619231359058,0.26004607575372807,0.8045995405629831,1.0,0.7292726765697449,0.5630209495490138,0.7435798369219151
ROBBERY_2021,0.8359682529032599,0.3224771297417173,0.6241452892239003,0.7292726765697449,1.0,0.5592286188414476,0.6080346090285189
THEFTFROMMV_2021,0.5435166703469044,0.8064435986336773,0.20543909911510433,0.5630209495490138,0.5592286188414476,1.0,0.7739819412511821
THEFTOVER_2021,0.6238554874326991,0.6331834445671114,0.5455307538812756,0.7435798369219151,0.6080346090285189,0.7739819412511821,1.0
