,ASSAULT_2020,AUTOTHEFT_2020,BIKETHEFT_2020,BREAKENTER_2020,ROBBERY_2020,THEFTFROMMV_2020,THEFTOVER_2020
ASSAULT_2020,1.0,0.289384044169003,0.5273154477041191,0.7309506111898161,0.8649142439447483,0.6849109687267066,0.6321971241350058
AUTOTHEFT_2020,0.289384044169003,1.0,-0.13793138170642297,0.20845629290526757,0.44143320306906436,0.7589918650154185,0.6866857331082712
BIKETHEFT_2020,0.5273154477041191,-0.13793138170642297,1.0,0.8029125443875997,0.46311261314920915,0.3212018701596468,0.4750645138205761
BREAKENTER_2020,0.7309506111898161,0.20845629290526757,0.8029125443875997,1.0,0.6798691735040711,0.6251044256370787,0.6778270835963178
ROBBERY_2020,0.8649142439447483,0.44143320306906436,0.46311261314920915,0.6798691735040711,1.0,0.7476660736536335,0.6566201903198474
THEFTFROMMV_2020,0.6849109687267066,0.7589918650154185,0.3212018701596468,0.6251044256370787,0.7476660736536335,1.0,0.8444120471419914
THEFTOVER_2020,0.6321971241350058,0.6866857331082712,0.4750645138205761,0.6778270835963178,0.6566201903198474,0.8444120471419914,1.0
