neighbourhood_name,neighbourhood_id,tsns_designation,total_population,low_income_percent,is_improvement_area,Reconciled_Neighbourhood
North St. James Town,74,No Designation,18615,36.5,0,North St. James Town
Oakridge,121,NIA,13845,42.6,1,Oakridge
Oakwood Village,107,No Designation,21210,18.6,0,Oakwood Village
O'Connor-Parkview,54,No Designation,18675,22.5,0,O'Connor-Parkview
Old East York,58,No Designation,9233,13.5,0,Old East York
Palmerston-Little Italy,80,No Designation,13826,13.8,0,Palmerston-Little Italy
Parkwoods-Donalda,45,No Designation,34805,20.6,0,Parkwoods-Donalda
Pelmo Park-Humberlea,23,No Designation,10722,11.4,0,Pelmo Park-Humberlea
Playter Estates-Danforth,67,No Designation,7804,13.6,0,Playter Estates-Danforth
Pleasant View,46,No Designation,15818,17.5,0,Pleasant View
Princess-Rosethorn,10,No Designation,11051,7.2,0,Princess-Rosethorn
Regent Park,72,NIA,10803,42.3,1,Regent Park
Rexdale-Kipling,4,No Designation,10529,18.6,0,Rexdale-Kipling
Rockcliffe-Smythe,111,NIA,22246,22.8,1,Rockcliffe-Smythe
Roncesvalles,86,No Designation,14974,19.9,0,Roncesvalles
Rosedale-Moore Park,98,No Designation,20923,10.2,0,Rosedale-Moore Park
Rouge,131,No Designation,46496,9.5,0,Rouge
Runnymede-Bloor West Village,89,No Designation,10070,6.9,0,Runnymede-Bloor West Village
Rustic,28,NIA,9941,31.7,1,Rustic
Scarborough Village,139,NIA,16724,32.4,1,Scarborough Village
South Parkdale,85,NIA,21849,30.5,1,South Parkdale
South Riverdale,70,No Designation,27876,18.7,0,South Riverdale
St.Andrew-Windfields,40,No Designation,17812,15.9,0,St.Andrew-Windfields
Steeles,116,Emerging Neighbourhood,24623,21.0,0,Steeles
Stonegate-Queensway,16,No Designation,25051,11.6,0,Stonegate-Queensway
Tam O'Shanter-Sullivan,118,No Designation,27446,23.8,0,Tam O'Shanter-Sullivan
Taylor-Massey,61,NIA,15683,32.9,1,Taylor-Massey
The Beaches,63,No Designation,21567,9.4,0,The Beaches
Thistletown-Beaumond Heights,3,NIA,10360,17.8,1,Thistletown-Beaumond Heights
Thorncliffe Park,55,NIA,21108,45.5,1,Thorncliffe Park
Trinity-Bellwoods,81,No Designation,16556,14.7,0,Trinity-Bellwoods
University,79,No Designation,7607,22.4,0,University
Victoria Village,43,NIA,17510,25.9,1,Victoria Village
Waterfront Communities-The Island,77,No Designation,65913,16.5,0,Waterfront Communities-The Island
West Hill,136,NIA,27392,25.2,1,West Hill
West Humber-Clairville,1,No Designation,33312,15.8,0,West Humber-Clairville
Westminster-Branson,35,Emerging Neighbourhood,26274,24.4,0,Westminster-Branson
Weston,113,NIA,17992,29.6,1,Weston
