AREA_NAME,HOOD_ID_2016,ASSAULT_2016,AUTOTHEFT_2016,BIKETHEFT_2016,BREAKENTER_2016,HOMICIDE_2016,ROBBERY_2016,SHOOTING_2016,THEFTFROMMV_2016,THEFTOVER_2016,TOTAL_CRIME_COUNT_2016,Reconciled_Neighbourhood,HOOD_ID_2021,ASSAULT_2021,AUTOTHEFT_2021,BIKETHEFT_2021,BREAKENTER_2021,HOMICIDE_2021,ROBBERY_2021,SHOOTING_2021,THEFTFROMMV_2021,THEFTOVER_2021,TOTAL_CRIME_COUNT_2021,total_population,ASSAULT_change,ASSAULT_percent_change,AUTOTHEFT_change,AUTOTHEFT_percent_change,BIKETHEFT_change,BIKETHEFT_percent_change,BREAKENTER_change,BREAKENTER_percent_change,HOMICIDE_change,HOMICIDE_percent_change,ROBBERY_change,ROBBERY_percent_change,SHOOTING_change,SHOOTING_percent_change,THEFTFROMMV_change,THEFTFROMMV_percent_change,THEFTOVER_change,THEFTOVER_percent_change,TOTAL_CRIME_COUNT_change,TOTAL_CRIME_COUNT_percent_change
High Park-Swansea,87.0,85.0,12.0,57.0,32.0,0.0,14.0,4.0,49.0,4.0,257.0,High Park-Swansea,87.0,81.0,24.0,28.0,28.0,0.0,9.0,2.0,31.0,4.0,207.0,22665.0,-4.0,-4.705882352941177,12.0,100.0,-29.0,-50.877192982456144,-4.0,-12.5,0.0,,-5.0,-35.714285714285715,-2.0,-50.0,-18.0,-36.734693877551024,0.0,0.0,-50.0,-19.45525291828794
Highland Creek,134.0,71.0,8.0,15.0,35.0,0.0,11.0,0.0,32.0,1.0,173.0,Highland Creek,134.0,38.0,30.0,0.0,5.0,1.0,2.0,0.0,24.0,1.0,101.0,12625.0,-33.0,-46.478873239436616,22.0,275.0,-15.0,-100.0,-30.0,-85.71428571428571,1.0,inf,-9.0,-81.81818181818183,0.0,,-8.0,-25.0,0.0,0.0,-72.0,-41.61849710982659
Hillcrest Village,48.0,43.0,23.0,3.0,34.0,0.0,16.0,0.0,21.0,2.0,142.0,Hillcrest Village,48.0,44.0,40.0,4.0,20.0,1.0,10.0,1.0,56.0,4.0,180.0,16345.0,1.0,2.3255813953488373,17.0,73.91304347826086,1.0,33.33333333333333,-14.0,-41.17647058823529,1.0,inf,-6.0,-37.5,1.0,inf,35.0,166.66666666666669,2.0,100.0,38.0,26.76056338028169
Humber Bay Shores,161.0,76.0,7.0,31.0,16.0,0.0,3.0,0.0,35.0,10.0,178.0,Humber Bay Shores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humber Heights-Westmount,8.0,31.0,17.0,1.0,23.0,1.0,11.0,7.0,28.0,4.0,123.0,Humber Heights-Westmount,8.0,32.0,21.0,3.0,16.0,2.0,1.0,5.0,33.0,5.0,118.0,10005.0,1.0,3.225806451612903,4.0,23.52941176470588,2.0,200.0,-7.0,-30.434782608695656,1.0,100.0,-10.0,-90.9090909090909,-2.0,-28.57142857142857,5.0,17.857142857142858,1.0,25.0,-5.0,-4.0650406504065035
Humber Summit,21.0,127.0,63.0,6.0,41.0,0.0,29.0,16.0,67.0,18.0,367.0,Humber Summit,21.0,113.0,139.0,2.0,41.0,1.0,14.0,3.0,86.0,29.0,428.0,12185.0,-14.0,-11.023622047244094,76.0,120.63492063492063,-4.0,-66.66666666666666,0.0,0.0,1.0,inf,-15.0,-51.724137931034484,-13.0,-81.25,19.0,28.35820895522388,11.0,61.111111111111114,61.0,16.62125340599455
Humbermede,22.0,106.0,47.0,3.0,24.0,1.0,22.0,3.0,31.0,1.0,238.0,Humbermede,22.0,117.0,57.0,2.0,30.0,0.0,18.0,4.0,44.0,13.0,285.0,16955.0,11.0,10.377358490566039,10.0,21.27659574468085,-1.0,-33.33333333333333,6.0,25.0,-1.0,-100.0,-4.0,-18.181818181818183,1.0,33.33333333333333,13.0,41.935483870967744,12.0,1200.0,47.0,19.747899159663866
Humewood-Cedarvale,106.0,53.0,17.0,18.0,27.0,0.0,5.0,0.0,40.0,5.0,165.0,Humewood-Cedarvale,106.0,49.0,34.0,16.0,19.0,0.0,3.0,0.0,39.0,2.0,162.0,13845.0,-4.0,-7.547169811320755,17.0,100.0,-2.0,-11.11111111111111,-8.0,-29.629629629629626,0.0,,-2.0,-40.0,0.0,,-1.0,-2.5,-3.0,-60.0,-3.0,-1.8181818181818181
Ionview,125.0,105.0,7.0,0.0,17.0,0.0,9.0,0.0,15.0,4.0,157.0,Ionview,125.0,92.0,10.0,1.0,18.0,0.0,4.0,0.0,40.0,3.0,168.0,13365.0,-13.0,-12.380952380952381,3.0,42.857142857142854,1.0,inf,1.0,5.88235294117647,0.0,,-5.0,-55.55555555555556,0.0,,25.0,166.66666666666669,-1.0,-25.0,11.0,7.006369426751593
Islington,158.0,85.0,33.0,7.0,40.0,0.0,20.0,3.0,54.0,6.0,248.0,Islington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Islington-City Centre West,317.0,212.0,176.0,31.0,120.0,1.0,22.0,4.0,165.0,38.0,769.0,47060.0,,,,,,,,,,,,,,,,,,,,
Junction Area,90.0,107.0,20.0,26.0,33.0,0.0,13.0,1.0,35.0,4.0,239.0,Junction Area,90.0,116.0,27.0,15.0,45.0,0.0,9.0,0.0,36.0,5.0,253.0,14010.0,9.0,8.411214953271028,7.0,35.0,-11.0,-42.30769230769231,12.0,36.36363636363637,0.0,,-4.0,-30.76923076923077,-1.0,-100.0,1.0,2.857142857142857,1.0,25.0,14.0,5.857740585774058
Junction-Wallace Emerson,171.0,171.0,12.0,50.0,41.0,0.0,27.0,1.0,48.0,6.0,356.0,Junction-Wallace Emerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keelesdale-Eglinton West,110.0,54.0,16.0,3.0,14.0,0.0,16.0,1.0,11.0,0.0,115.0,Keelesdale-Eglinton West,110.0,74.0,24.0,2.0,27.0,3.0,7.0,2.0,34.0,1.0,174.0,11390.0,20.0,37.03703703703704,8.0,50.0,-1.0,-33.33333333333333,13.0,92.85714285714286,3.0,inf,-9.0,-56.25,1.0,100.0,23.0,209.0909090909091,1.0,inf,59.0,51.30434782608696
Kennedy Park,124.0,212.0,12.0,5.0,46.0,0.0,26.0,2.0,34.0,5.0,342.0,Kennedy Park,124.0,185.0,34.0,9.0,35.0,2.0,27.0,2.0,65.0,4.0,363.0,17110.0,-27.0,-12.735849056603774,22.0,183.33333333333331,4.0,80.0,-11.0,-23.91304347826087,2.0,inf,1.0,3.8461538461538463,0.0,0.0,31.0,91.17647058823529,-1.0,-20.0,21.0,6.140350877192982
Kensington-Chinatown,78.0,388.0,31.0,130.0,81.0,5.0,66.0,9.0,532.0,20.0,1262.0,Kensington-Chinatown,78.0,405.0,24.0,110.0,98.0,2.0,32.0,9.0,92.0,22.0,794.0,18120.0,17.0,4.381443298969072,-7.0,-22.58064516129032,-20.0,-15.384615384615385,17.0,20.98765432098765,-3.0,-60.0,-34.0,-51.515151515151516,0.0,0.0,-440.0,-82.70676691729322,2.0,10.0,-468.0,-37.08399366085578
Kingsview Village-The Westway,6.0,129.0,42.0,2.0,34.0,2.0,27.0,17.0,54.0,5.0,312.0,Kingsview Village-The Westway,6.0,99.0,84.0,3.0,17.0,1.0,9.0,7.0,94.0,8.0,322.0,22005.0,-30.0,-23.25581395348837,42.0,100.0,1.0,50.0,-17.0,-50.0,-1.0,-50.0,-18.0,-66.66666666666666,-10.0,-58.82352941176471,40.0,74.07407407407408,3.0,60.0,10.0,3.205128205128205
Kingsway South,15.0,29.0,9.0,14.0,27.0,0.0,12.0,0.0,21.0,2.0,114.0,Kingsway South,15.0,32.0,36.0,6.0,9.0,0.0,13.0,0.0,18.0,3.0,117.0,8855.0,3.0,10.344827586206897,27.0,300.0,-8.0,-57.14285714285714,-18.0,-66.66666666666666,0.0,,1.0,8.333333333333332,0.0,,-3.0,-14.285714285714285,1.0,50.0,3.0,2.631578947368421
,,,,,,,,,,,,L'Amoreaux,295.0,180.0,38.0,9.0,31.0,0.0,15.0,5.0,54.0,7.0,339.0,43040.0,,,,,,,,,,,,,,,,,,,,
L'Amoreaux West,147.0,95.0,15.0,5.0,30.0,1.0,23.0,5.0,24.0,2.0,200.0,L'Amoreaux West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambton Baby Point,114.0,20.0,1.0,6.0,9.0,0.0,5.0,0.0,14.0,2.0,57.0,Lambton Baby Point,114.0,34.0,11.0,6.0,6.0,0.0,0.0,0.0,7.0,1.0,65.0,7965.0,14.0,70.0,10.0,1000.0,0.0,0.0,-3.0,-33.33333333333333,0.0,,-5.0,-100.0,0.0,,-7.0,-50.0,-1.0,-50.0,8.0,14.035087719298245
Lansing-Westgate,38.0,65.0,26.0,13.0,41.0,0.0,5.0,1.0,38.0,4.0,193.0,Lansing-Westgate,38.0,93.0,63.0,11.0,16.0,0.0,12.0,3.0,40.0,5.0,243.0,15910.0,28.0,43.07692307692308,37.0,142.30769230769232,-2.0,-15.384615384615385,-25.0,-60.97560975609756,0.0,,7.0,140.0,2.0,200.0,2.0,5.263157894736842,1.0,25.0,50.0,25.906735751295333
Lawrence Park North,105.0,24.0,14.0,14.0,27.0,0.0,4.0,0.0,23.0,3.0,109.0,Lawrence Park North,105.0,44.0,46.0,19.0,20.0,0.0,8.0,0.0,27.0,1.0,165.0,14675.0,20.0,83.33333333333334,32.0,228.57142857142856,5.0,35.714285714285715,-7.0,-25.925925925925924,0.0,,4.0,100.0,0.0,,4.0,17.391304347826086,-2.0,-66.66666666666666,56.0,51.37614678899083
Lawrence Park South,103.0,18.0,20.0,12.0,44.0,0.0,2.0,0.0,25.0,1.0,122.0,Lawrence Park South,103.0,30.0,62.0,17.0,26.0,0.0,7.0,0.0,27.0,2.0,171.0,14960.0,12.0,66.66666666666666,42.0,210.0,5.0,41.66666666666667,-18.0,-40.909090909090914,0.0,,5.0,250.0,0.0,,2.0,8.0,1.0,100.0,49.0,40.16393442622951
Leaside-Bennington,56.0,41.0,4.0,38.0,33.0,0.0,9.0,0.0,19.0,3.0,147.0,Leaside-Bennington,56.0,50.0,86.0,28.0,39.0,0.0,3.0,1.0,40.0,3.0,250.0,16535.0,9.0,21.951219512195124,82.0,2050.0,-10.0,-26.31578947368421,6.0,18.181818181818183,0.0,,-6.0,-66.66666666666666,1.0,inf,21.0,110.5263157894737,0.0,0.0,103.0,70.06802721088435
Little Portugal,84.0,108.0,12.0,41.0,40.0,1.0,9.0,0.0,30.0,4.0,245.0,Little Portugal,84.0,105.0,7.0,41.0,40.0,0.0,10.0,1.0,26.0,7.0,237.0,15485.0,-3.0,-2.7777777777777777,-5.0,-41.66666666666667,0.0,0.0,0.0,0.0,-1.0,-100.0,1.0,11.11111111111111,1.0,inf,-4.0,-13.333333333333334,3.0,75.0,-8.0,-3.2653061224489797
Long Branch,19.0,60.0,13.0,10.0,28.0,0.0,6.0,0.0,19.0,0.0,136.0,Long Branch,19.0,95.0,41.0,11.0,15.0,1.0,1.0,3.0,39.0,3.0,209.0,11360.0,35.0,58.333333333333336,28.0,215.3846153846154,1.0,10.0,-13.0,-46.42857142857143,1.0,inf,-5.0,-83.33333333333334,3.0,inf,20.0,105.26315789473684,3.0,inf,73.0,53.67647058823529
,,,,,,,,,,,,Malvern,291.0,231.0,65.0,8.0,34.0,3.0,42.0,10.0,50.0,4.0,447.0,43415.0,,,,,,,,,,,,,,,,,,,,
Malvern East,146.0,167.0,18.0,5.0,41.0,4.0,29.0,9.0,27.0,2.0,302.0,Malvern East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malvern West,145.0,113.0,18.0,3.0,24.0,0.0,34.0,1.0,38.0,6.0,237.0,Malvern West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Leaf,29.0,44.0,15.0,0.0,18.0,0.0,8.0,0.0,13.0,0.0,98.0,Maple Leaf,29.0,33.0,13.0,1.0,10.0,0.0,1.0,2.0,19.0,3.0,82.0,9845.0,-11.0,-25.0,-2.0,-13.333333333333334,1.0,inf,-8.0,-44.44444444444444,0.0,,-7.0,-87.5,2.0,inf,6.0,46.15384615384615,3.0,inf,-16.0,-16.3265306122449
Markland Wood,12.0,26.0,13.0,1.0,19.0,0.0,10.0,0.0,44.0,2.0,115.0,Markland Wood,12.0,25.0,22.0,1.0,9.0,0.0,8.0,0.0,23.0,0.0,88.0,10365.0,-1.0,-3.8461538461538463,9.0,69.23076923076923,0.0,0.0,-10.0,-52.63157894736842,0.0,,-2.0,-20.0,0.0,,-21.0,-47.72727272727273,-2.0,-100.0,-27.0,-23.47826086956522
Milliken,130.0,89.0,35.0,0.0,67.0,0.0,37.0,1.0,43.0,9.0,281.0,Milliken,130.0,63.0,80.0,8.0,89.0,1.0,16.0,6.0,67.0,8.0,338.0,23980.0,-26.0,-29.213483146067414,45.0,128.57142857142858,8.0,inf,22.0,32.83582089552239,1.0,inf,-21.0,-56.75675675675676,5.0,500.0,24.0,55.81395348837209,-1.0,-11.11111111111111,57.0,20.284697508896798
,,,,,,,,,,,,Mimico (includes Humber Bay Shores),321.0,370.0,57.0,41.0,54.0,0.0,14.0,3.0,55.0,13.0,607.0,39650.0,,,,,,,,,,,,,,,,,,,,
Mimico-Queensway,160.0,165.0,28.0,6.0,33.0,1.0,9.0,1.0,37.0,7.0,287.0,Mimico-Queensway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morningside,135.0,164.0,14.0,3.0,19.0,1.0,10.0,2.0,20.0,0.0,233.0,Morningside,135.0,83.0,33.0,0.0,16.0,0.0,5.0,3.0,21.0,1.0,162.0,17660.0,-81.0,-49.390243902439025,19.0,135.71428571428572,-3.0,-100.0,-3.0,-15.789473684210526,-1.0,-100.0,-5.0,-50.0,1.0,50.0,1.0,5.0,1.0,inf,-71.0,-30.472103004291846
Morningside Heights,144.0,86.0,16.0,1.0,42.0,0.0,26.0,5.0,39.0,10.0,225.0,Morningside Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moss Park,73.0,456.0,16.0,118.0,129.0,2.0,119.0,5.0,136.0,11.0,992.0,Moss Park,73.0,625.0,50.0,96.0,154.0,1.0,88.0,3.0,126.0,17.0,1160.0,21490.0,169.0,37.06140350877193,34.0,212.5,-22.0,-18.64406779661017,25.0,19.379844961240313,-1.0,-50.0,-31.0,-26.05042016806723,-2.0,-40.0,-10.0,-7.352941176470589,6.0,54.54545454545454,168.0,16.93548387096774
Mount Dennis,115.0,111.0,19.0,3.0,31.0,0.0,34.0,3.0,19.0,0.0,220.0,Mount Dennis,115.0,98.0,26.0,6.0,15.0,1.0,11.0,2.0,33.0,3.0,195.0,13055.0,-13.0,-11.711711711711711,7.0,36.84210526315789,3.0,100.0,-16.0,-51.61290322580645,1.0,inf,-23.0,-67.64705882352942,-1.0,-33.33333333333333,14.0,73.68421052631578,3.0,inf,-25.0,-11.363636363636363
Mount Olive-Silverstone-Jamestown,2.0,275.0,43.0,12.0,34.0,3.0,106.0,7.0,98.0,4.0,582.0,Mount Olive-Silverstone-Jamestown,2.0,211.0,77.0,6.0,16.0,0.0,50.0,10.0,83.0,3.0,456.0,31345.0,-64.0,-23.272727272727273,34.0,79.06976744186046,-6.0,-50.0,-18.0,-52.94117647058824,-3.0,-100.0,-56.0,-52.83018867924528,3.0,42.857142857142854,-15.0,-15.306122448979592,-1.0,-25.0,-126.0,-21.649484536082475
Mount Pleasant East,99.0,18.0,8.0,20.0,15.0,0.0,3.0,0.0,15.0,1.0,80.0,Mount Pleasant East,99.0,48.0,38.0,23.0,33.0,0.0,9.0,0.0,27.0,3.0,181.0,16370.0,30.0,166.66666666666669,30.0,375.0,3.0,15.0,18.0,120.0,0.0,,6.0,200.0,0.0,,12.0,80.0,2.0,200.0,101.0,126.25
,,,,,,,,,,,,Mount Pleasant West,347.0,224.0,29.0,56.0,93.0,1.0,21.0,1.0,38.0,8.0,471.0,38620.0,,,,,,,,,,,,,,,,,,,,
New Toronto,18.0,98.0,10.0,6.0,42.0,1.0,19.0,1.0,32.0,5.0,214.0,New Toronto,18.0,116.0,15.0,9.0,18.0,0.0,14.0,3.0,24.0,5.0,204.0,11345.0,18.0,18.367346938775512,5.0,50.0,3.0,50.0,-24.0,-57.14285714285714,-1.0,-100.0,-5.0,-26.31578947368421,2.0,200.0,-8.0,-25.0,0.0,0.0,-10.0,-4.672897196261682
Newtonbrook East,50.0,98.0,9.0,10.0,42.0,1.0,14.0,2.0,28.0,5.0,209.0,Newtonbrook East,50.0,95.0,46.0,9.0,27.0,0.0,14.0,1.0,37.0,8.0,237.0,15345.0,-3.0,-3.061224489795918,37.0,411.1111111111111,-1.0,-10.0,-15.0,-35.714285714285715,-1.0,-100.0,0.0,0.0,-1.0,-50.0,9.0,32.142857142857146,3.0,60.0,28.0,13.397129186602871
Newtonbrook West,36.0,148.0,45.0,27.0,54.0,0.0,18.0,0.0,45.0,6.0,343.0,Newtonbrook West,36.0,202.0,96.0,17.0,35.0,0.0,17.0,0.0,81.0,9.0,457.0,23805.0,54.0,36.486486486486484,51.0,113.33333333333333,-10.0,-37.03703703703704,-19.0,-35.18518518518518,0.0,,-1.0,-5.555555555555555,0.0,,36.0,80.0,3.0,50.0,114.0,33.23615160349854
,,,,,,,,,,,,Niagara,325.0,259.0,25.0,91.0,92.0,0.0,18.0,3.0,90.0,23.0,601.0,33085.0,,,,,,,,,,,,,,,,,,,,
North Riverdale,68.0,53.0,5.0,30.0,41.0,1.0,33.0,2.0,49.0,6.0,220.0,North Riverdale,68.0,57.0,13.0,17.0,32.0,1.0,5.0,1.0,32.0,0.0,158.0,11290.0,4.0,7.547169811320755,8.0,160.0,-13.0,-43.333333333333336,-9.0,-21.951219512195124,0.0,0.0,-28.0,-84.84848484848484,-1.0,-50.0,-17.0,-34.69387755102041,-6.0,-100.0,-62.0,-28.18181818181818
North St.James Town,74.0,137.0,17.0,60.0,53.0,0.0,22.0,2.0,154.0,8.0,453.0,North St.James Town,74.0,265.0,20.0,25.0,45.0,0.0,16.0,3.0,40.0,3.0,417.0,,128.0,93.43065693430657,3.0,17.647058823529413,-35.0,-58.333333333333336,-8.0,-15.09433962264151,0.0,,-6.0,-27.27272727272727,1.0,50.0,-114.0,-74.02597402597402,-5.0,-62.5,-36.0,-7.9470198675496695
North Toronto,173.0,47.0,2.0,9.0,15.0,0.0,8.0,0.0,15.0,2.0,98.0,North Toronto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O'Connor-Parkview,54.0,127.0,7.0,6.0,34.0,0.0,28.0,1.0,84.0,6.0,293.0,O'Connor-Parkview,54.0,115.0,43.0,7.0,38.0,1.0,12.0,2.0,65.0,2.0,285.0,18405.0,-12.0,-9.448818897637794,36.0,514.2857142857143,1.0,16.666666666666664,4.0,11.76470588235294,1.0,inf,-16.0,-57.14285714285714,1.0,100.0,-19.0,-22.61904761904762,-4.0,-66.66666666666666,-8.0,-2.7303754266211606
Oakdale-Beverley Heights,154.0,230.0,51.0,7.0,24.0,0.0,34.0,3.0,43.0,8.0,400.0,Oakdale-Beverley Heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakridge,121.0,143.0,11.0,4.0,59.0,0.0,30.0,3.0,71.0,10.0,331.0,Oakridge,121.0,190.0,20.0,8.0,28.0,0.0,22.0,3.0,66.0,5.0,342.0,13705.0,47.0,32.86713286713287,9.0,81.81818181818183,4.0,100.0,-31.0,-52.54237288135594,0.0,,-8.0,-26.666666666666668,0.0,0.0,-5.0,-7.042253521126761,-5.0,-50.0,11.0,3.3232628398791544
Oakwood Village,107.0,136.0,24.0,17.0,23.0,0.0,31.0,11.0,26.0,2.0,270.0,Oakwood Village,107.0,98.0,28.0,11.0,35.0,0.0,12.0,3.0,55.0,8.0,250.0,20710.0,-38.0,-27.941176470588236,4.0,16.666666666666664,-6.0,-35.294117647058826,12.0,52.17391304347826,0.0,,-19.0,-61.29032258064516,-8.0,-72.72727272727273,29.0,111.53846153846155,6.0,300.0,-20.0,-7.4074074074074066
Old East York,58.0,48.0,6.0,2.0,26.0,1.0,9.0,1.0,17.0,2.0,112.0,Old East York,58.0,38.0,19.0,4.0,6.0,0.0,8.0,0.0,21.0,5.0,101.0,9160.0,-10.0,-20.833333333333336,13.0,216.66666666666666,2.0,100.0,-20.0,-76.92307692307693,-1.0,-100.0,-1.0,-11.11111111111111,-1.0,-100.0,4.0,23.52941176470588,3.0,150.0,-11.0,-9.821428571428571
Palmerston-Little Italy,80.0,67.0,17.0,53.0,39.0,0.0,23.0,0.0,46.0,6.0,251.0,Palmerston-Little Italy,80.0,72.0,10.0,28.0,32.0,1.0,9.0,0.0,22.0,0.0,174.0,13120.0,5.0,7.462686567164178,-7.0,-41.17647058823529,-25.0,-47.16981132075472,-7.0,-17.94871794871795,1.0,inf,-14.0,-60.86956521739131,0.0,,-24.0,-52.17391304347826,-6.0,-100.0,-77.0,-30.677290836653388
,,,,,,,,,,,,Parkwoods-Donalda,299.0,138.0,53.0,8.0,37.0,1.0,24.0,4.0,74.0,5.0,344.0,34475.0,,,,,,,,,,,,,,,,,,,,
Parkwoods-O'Connor Hills,149.0,52.0,11.0,1.0,22.0,0.0,11.0,2.0,44.0,1.0,144.0,Parkwoods-O'Connor Hills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pelmo Park-Humberlea,23.0,59.0,26.0,1.0,24.0,1.0,12.0,5.0,36.0,4.0,168.0,Pelmo Park-Humberlea,23.0,57.0,67.0,3.0,12.0,2.0,4.0,2.0,48.0,2.0,197.0,11290.0,-2.0,-3.389830508474576,41.0,157.69230769230768,2.0,200.0,-12.0,-50.0,1.0,100.0,-8.0,-66.66666666666666,-3.0,-60.0,12.0,33.33333333333333,-2.0,-50.0,29.0,17.261904761904763
Playter Estates-Danforth,67.0,71.0,9.0,15.0,24.0,0.0,12.0,0.0,13.0,3.0,147.0,Playter Estates-Danforth,67.0,57.0,8.0,26.0,41.0,0.0,12.0,1.0,34.0,2.0,181.0,7680.0,-14.0,-19.718309859154928,-1.0,-11.11111111111111,11.0,73.33333333333333,17.0,70.83333333333334,0.0,,0.0,0.0,1.0,inf,21.0,161.53846153846155,-1.0,-33.33333333333333,34.0,23.12925170068027
Pleasant View,46.0,52.0,7.0,2.0,32.0,0.0,13.0,1.0,13.0,3.0,123.0,Pleasant View,46.0,26.0,14.0,8.0,17.0,0.0,9.0,0.0,73.0,6.0,153.0,15220.0,-26.0,-50.0,7.0,100.0,6.0,300.0,-15.0,-46.875,0.0,,-4.0,-30.76923076923077,-1.0,-100.0,60.0,461.5384615384615,3.0,100.0,30.0,24.390243902439025
Princess-Rosethorn,10.0,31.0,22.0,3.0,33.0,1.0,28.0,1.0,51.0,3.0,173.0,Princess-Rosethorn,10.0,25.0,23.0,5.0,11.0,0.0,2.0,1.0,33.0,2.0,102.0,11170.0,-6.0,-19.35483870967742,1.0,4.545454545454546,2.0,66.66666666666666,-22.0,-66.66666666666666,-1.0,-100.0,-26.0,-92.85714285714286,0.0,0.0,-18.0,-35.294117647058826,-1.0,-33.33333333333333,-71.0,-41.040462427745666
Regent Park,72.0,129.0,3.0,39.0,25.0,1.0,19.0,8.0,48.0,3.0,275.0,Regent Park,72.0,185.0,9.0,14.0,32.0,1.0,16.0,2.0,22.0,6.0,287.0,12750.0,56.0,43.41085271317829,6.0,200.0,-25.0,-64.1025641025641,7.0,28.000000000000004,0.0,0.0,-3.0,-15.789473684210526,-6.0,-75.0,-26.0,-54.166666666666664,3.0,100.0,12.0,4.363636363636364
Rexdale-Kipling,4.0,72.0,23.0,2.0,16.0,0.0,15.0,3.0,14.0,0.0,145.0,Rexdale-Kipling,4.0,49.0,41.0,2.0,29.0,0.0,10.0,1.0,55.0,2.0,189.0,10375.0,-23.0,-31.944444444444443,18.0,78.26086956521739,0.0,0.0,13.0,81.25,0.0,,-5.0,-33.33333333333333,-2.0,-66.66666666666666,41.0,292.85714285714283,2.0,inf,44.0,30.344827586206897
Rockcliffe-Smythe,111.0,141.0,33.0,9.0,38.0,0.0,61.0,3.0,42.0,4.0,331.0,Rockcliffe-Smythe,111.0,139.0,47.0,11.0,35.0,1.0,16.0,12.0,42.0,5.0,308.0,22235.0,-2.0,-1.4184397163120568,14.0,42.42424242424242,2.0,22.22222222222222,-3.0,-7.894736842105263,1.0,inf,-45.0,-73.77049180327869,9.0,300.0,0.0,0.0,1.0,25.0,-23.0,-6.948640483383686
Roncesvalles,86.0,135.0,12.0,28.0,45.0,0.0,37.0,4.0,37.0,3.0,301.0,Roncesvalles,86.0,107.0,18.0,24.0,67.0,0.0,12.0,4.0,43.0,8.0,283.0,14610.0,-28.0,-20.74074074074074,6.0,50.0,-4.0,-14.285714285714285,22.0,48.888888888888886,0.0,,-25.0,-67.56756756756756,0.0,0.0,6.0,16.216216216216218,5.0,166.66666666666669,-18.0,-5.980066445182724
Rosedale-Moore Park,98.0,112.0,12.0,54.0,60.0,0.0,19.0,1.0,45.0,9.0,312.0,Rosedale-Moore Park,98.0,157.0,73.0,54.0,64.0,1.0,29.0,1.0,34.0,8.0,421.0,20080.0,45.0,40.17857142857143,61.0,508.3333333333333,0.0,0.0,4.0,6.666666666666667,1.0,inf,10.0,52.63157894736842,0.0,0.0,-11.0,-24.444444444444443,-1.0,-11.11111111111111,109.0,34.93589743589743
,,,,,,,,,,,,Rouge,287.0,155.0,114.0,7.0,47.0,2.0,19.0,9.0,85.0,11.0,449.0,45610.0,,,,,,,,,,,,,,,,,,,,
Runnymede-Bloor West Village,89.0,39.0,9.0,15.0,22.0,0.0,16.0,0.0,18.0,1.0,120.0,Runnymede-Bloor West Village,89.0,26.0,22.0,7.0,12.0,0.0,6.0,0.0,24.0,8.0,105.0,10120.0,-13.0,-33.33333333333333,13.0,144.44444444444443,-8.0,-53.333333333333336,-10.0,-45.45454545454545,0.0,,-10.0,-62.5,0.0,,6.0,33.33333333333333,7.0,700.0,-15.0,-12.5
Rustic,28.0,85.0,10.0,3.0,17.0,1.0,9.0,9.0,9.0,3.0,146.0,Rustic,28.0,76.0,16.0,0.0,7.0,2.0,6.0,8.0,13.0,0.0,128.0,9390.0,-9.0,-10.588235294117647,6.0,60.0,-3.0,-100.0,-10.0,-58.82352941176471,1.0,100.0,-3.0,-33.33333333333333,-1.0,-11.11111111111111,4.0,44.44444444444444,-3.0,-100.0,-18.0,-12.32876712328767
Scarborough Village,139.0,191.0,9.0,2.0,34.0,6.0,25.0,3.0,35.0,2.0,307.0,Scarborough Village,139.0,120.0,26.0,5.0,22.0,0.0,15.0,3.0,62.0,6.0,259.0,16520.0,-71.0,-37.17277486910995,17.0,188.88888888888889,3.0,150.0,-12.0,-35.294117647058826,-6.0,-100.0,-10.0,-40.0,0.0,0.0,27.0,77.14285714285715,4.0,200.0,-48.0,-15.63517915309446
South Eglinton-Davisville,174.0,66.0,3.0,27.0,25.0,1.0,8.0,1.0,11.0,4.0,146.0,South Eglinton-Davisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Parkdale,85.0,218.0,23.0,30.0,68.0,1.0,33.0,7.0,46.0,9.0,435.0,South Parkdale,85.0,257.0,17.0,32.0,63.0,0.0,20.0,3.0,50.0,6.0,448.0,20495.0,39.0,17.889908256880734,-6.0,-26.08695652173913,2.0,6.666666666666667,-5.0,-7.352941176470589,-1.0,-100.0,-13.0,-39.39393939393939,-4.0,-57.14285714285714,4.0,8.695652173913043,-3.0,-33.33333333333333,13.0,2.9885057471264367
