AREA_NAME,HOOD_ID_2016,ASSAULT_2016,AUTOTHEFT_2016,BIKETHEFT_2016,BREAKENTER_2016,HOMICIDE_2016,ROBBERY_2016,SHOOTING_2016,THEFTFROMMV_2016,THEFTOVER_2016,TOTAL_CRIME_COUNT_2016,Reconciled_Neighbourhood,HOOD_ID_2021,ASSAULT_2021,AUTOTHEFT_2021,BIKETHEFT_2021,BREAKENTER_2021,HOMICIDE_2021,ROBBERY_2021,SHOOTING_2021,THEFTFROMMV_2021,THEFTOVER_2021,TOTAL_CRIME_COUNT_2021,total_population,ASSAULT_change,ASSAULT_percent_change,AUTOTHEFT_change,AUTOTHEFT_percent_change,BIKETHEFT_change,BIKETHEFT_percent_change,BREAKENTER_change,BREAKENTER_percent_change,HOMICIDE_change,HOMICIDE_percent_change,ROBBERY_change,ROBBERY_percent_change,SHOOTING_change,SHOOTING_percent_change,THEFTFROMMV_change,THEFTFROMMV_percent_change,THEFTOVER_change,THEFTOVER_percent_change,TOTAL_CRIME_COUNT_change,TOTAL_CRIME_COUNT_percent_change
Bendale-Glen Andrew,156.0,174.0,42.0,4.0,30.0,2.0,49.0,3.0,45.0,8.0,357.0,Bendale-Glen Andrew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birchcliffe-Cliffside,122.0,198.0,15.0,22.0,76.0,0.0,25.0,0.0,93.0,6.0,435.0,Birchcliffe-Cliffside,122.0,142.0,31.0,11.0,42.0,0.0,14.0,1.0,68.0,4.0,313.0,22700.0,-56.0,-28.28282828282828,16.0,106.66666666666667,-11.0,-50.0,-34.0,-44.73684210526316,0.0,,-11.0,-44.0,1.0,inf,-25.0,-26.881720430107524,-2.0,-33.33333333333333,-122.0,-28.045977011494255
Black Creek,24.0,279.0,51.0,4.0,27.0,1.0,42.0,16.0,55.0,8.0,483.0,Black Creek,24.0,212.0,65.0,7.0,27.0,0.0,15.0,15.0,66.0,9.0,416.0,21145.0,-67.0,-24.014336917562723,14.0,27.450980392156865,3.0,75.0,0.0,0.0,-1.0,-100.0,-27.0,-64.28571428571429,-1.0,-6.25,11.0,20.0,1.0,12.5,-67.0,-13.871635610766045
Blake-Jones,69.0,64.0,5.0,11.0,23.0,1.0,11.0,4.0,21.0,0.0,140.0,Blake-Jones,69.0,47.0,5.0,19.0,27.0,0.0,13.0,1.0,13.0,2.0,127.0,7475.0,-17.0,-26.5625,0.0,0.0,8.0,72.72727272727273,4.0,17.391304347826086,-1.0,-100.0,2.0,18.181818181818183,-3.0,-75.0,-8.0,-38.095238095238095,2.0,inf,-13.0,-9.285714285714286
Briar Hill-Belgravia,108.0,81.0,18.0,7.0,31.0,0.0,28.0,2.0,32.0,4.0,203.0,Briar Hill-Belgravia,108.0,71.0,28.0,1.0,40.0,1.0,16.0,0.0,60.0,3.0,220.0,14575.0,-10.0,-12.345679012345679,10.0,55.55555555555556,-6.0,-85.71428571428571,9.0,29.03225806451613,1.0,inf,-12.0,-42.857142857142854,-2.0,-100.0,28.0,87.5,-1.0,-25.0,17.0,8.374384236453201
Bridle Path-Sunnybrook-York Mills,41.0,18.0,11.0,6.0,49.0,0.0,2.0,0.0,12.0,5.0,103.0,Bridle Path-Sunnybrook-York Mills,41.0,43.0,39.0,1.0,19.0,0.0,5.0,0.0,12.0,1.0,120.0,8940.0,25.0,138.88888888888889,28.0,254.54545454545453,-5.0,-83.33333333333334,-30.0,-61.224489795918366,0.0,,3.0,150.0,0.0,,0.0,0.0,-4.0,-80.0,17.0,16.50485436893204
Broadview North,57.0,46.0,7.0,16.0,16.0,0.0,11.0,1.0,24.0,2.0,123.0,Broadview North,57.0,55.0,11.0,10.0,18.0,1.0,10.0,1.0,22.0,1.0,129.0,10955.0,9.0,19.565217391304348,4.0,57.14285714285714,-6.0,-37.5,2.0,12.5,1.0,inf,-1.0,-9.090909090909092,0.0,0.0,-2.0,-8.333333333333332,-1.0,-50.0,6.0,4.878048780487805
Brookhaven-Amesbury,30.0,108.0,30.0,4.0,31.0,0.0,30.0,3.0,26.0,1.0,233.0,Brookhaven-Amesbury,30.0,123.0,49.0,7.0,25.0,3.0,15.0,4.0,47.0,5.0,278.0,17495.0,15.0,13.88888888888889,19.0,63.33333333333333,3.0,75.0,-6.0,-19.35483870967742,3.0,inf,-15.0,-50.0,1.0,33.33333333333333,21.0,80.76923076923077,4.0,400.0,45.0,19.313304721030043
Cabbagetown-South St.James Town,71.0,132.0,10.0,65.0,51.0,0.0,27.0,0.0,108.0,7.0,400.0,Cabbagetown-South St.James Town,71.0,125.0,5.0,38.0,68.0,1.0,14.0,0.0,50.0,7.0,308.0,,-7.0,-5.303030303030303,-5.0,-50.0,-27.0,-41.53846153846154,17.0,33.33333333333333,1.0,inf,-13.0,-48.148148148148145,0.0,,-58.0,-53.70370370370371,0.0,0.0,-92.0,-23.0
Caledonia-Fairbank,109.0,58.0,10.0,5.0,13.0,0.0,12.0,0.0,11.0,1.0,110.0,Caledonia-Fairbank,109.0,64.0,8.0,3.0,10.0,0.0,2.0,2.0,20.0,5.0,114.0,10015.0,6.0,10.344827586206897,-2.0,-20.0,-2.0,-40.0,-3.0,-23.076923076923077,0.0,,-10.0,-83.33333333333334,2.0,inf,9.0,81.81818181818183,4.0,400.0,4.0,3.6363636363636362
Casa Loma,96.0,43.0,5.0,15.0,19.0,0.0,2.0,0.0,23.0,7.0,114.0,Casa Loma,96.0,46.0,21.0,18.0,35.0,0.0,1.0,1.0,8.0,4.0,134.0,11350.0,3.0,6.976744186046512,16.0,320.0,3.0,20.0,16.0,84.21052631578947,0.0,,-1.0,-50.0,1.0,inf,-15.0,-65.21739130434783,-3.0,-42.857142857142854,20.0,17.543859649122805
Centennial Scarborough,133.0,48.0,5.0,6.0,18.0,0.0,11.0,2.0,47.0,1.0,138.0,Centennial Scarborough,133.0,37.0,23.0,0.0,5.0,0.0,6.0,0.0,36.0,2.0,109.0,13380.0,-11.0,-22.916666666666664,18.0,360.0,-6.0,-100.0,-13.0,-72.22222222222221,0.0,,-5.0,-45.45454545454545,-2.0,-100.0,-11.0,-23.404255319148938,1.0,100.0,-29.0,-21.014492753623188
Church-Wellesley,167.0,307.0,9.0,98.0,62.0,3.0,51.0,1.0,67.0,12.0,610.0,Church-Wellesley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
