Reconciled_Neighbourhood,HOOD_ID,ASSAULT_2021,AUTOTHEFT_2021,BIKETHEFT_2021,BREAKENTER_2021,HOMICIDE_2021,ROBBERY_2021,SHOOTING_2021,THEFTFROMMV_2021,THEFTOVER_2021,TOTAL_CRIME_COUNT,total_population
High Park-Swansea,87,81,24,28,28,0,9,2,31,4,207,22665.0
Highland Creek,134,38,30,0,5,1,2,0,24,1,101,12625.0
Hillcrest Village,48,44,40,4,20,1,10,1,56,4,180,16345.0
Humber Heights-Westmount,8,32,21,3,16,2,1,5,33,5,118,10005.0
Humber Summit,21,113,139,2,41,1,14,3,86,29,428,12185.0
Humbermede,22,117,57,2,30,0,18,4,44,13,285,16955.0
Humewood-Cedarvale,106,49,34,16,19,0,3,0,39,2,162,13845.0
Ionview,125,92,10,1,18,0,4,0,40,3,168,13365.0
Islington-City Centre West,317,212,176,31,120,1,22,4,165,38,769,47060.0
Junction Area,90,116,27,15,45,0,9,0,36,5,253,14010.0
Keelesdale-Eglinton West,110,74,24,2,27,3,7,2,34,1,174,11390.0
Kennedy Park,124,185,34,9,35,2,27,2,65,4,363,17110.0
Kensington-Chinatown,78,405,24,110,98,2,32,9,92,22,794,18120.0
Kingsview Village-The Westway,6,99,84,3,17,1,9,7,94,8,322,22005.0
Kingsway South,15,32,36,6,9,0,13,0,18,3,117,8855.0
L'Amoreaux,295,180,38,9,31,0,15,5,54,7,339,43040.0
Lambton Baby Point,114,34,11,6,6,0,0,0,7,1,65,7965.0
Lansing-Westgate,38,93,63,11,16,0,12,3,40,5,243,15910.0
Lawrence Park North,105,44,46,19,20,0,8,0,27,1,165,14675.0
Lawrence Park South,103,30,62,17,26,0,7,0,27,2,171,14960.0
Leaside-Bennington,56,50,86,28,39,0,3,1,40,3,250,16535.0
Little Portugal,84,105,7,41,40,0,10,1,26,7,237,15485.0
Long Branch,19,95,41,11,15,1,1,3,39,3,209,11360.0
Malvern,291,231,65,8,34,3,42,10,50,4,447,43415.0
Maple Leaf,29,33,13,1,10,0,1,2,19,3,82,9845.0
Markland Wood,12,25,22,1,9,0,8,0,23,0,88,10365.0
Milliken,130,63,80,8,89,1,16,6,67,8,338,23980.0
Mimico (includes Humber Bay Shores),321,370,57,41,54,0,14,3,55,13,607,39650.0
Morningside,135,83,33,0,16,0,5,3,21,1,162,17660.0
Moss Park,73,625,50,96,154,1,88,3,126,17,1160,21490.0
Mount Dennis,115,98,26,6,15,1,11,2,33,3,195,13055.0
Mount Olive-Silverstone-Jamestown,2,211,77,6,16,0,50,10,83,3,456,31345.0
Mount Pleasant East,99,48,38,23,33,0,9,0,27,3,181,16370.0
Mount Pleasant West,347,224,29,56,93,1,21,1,38,8,471,38620.0
New Toronto,18,116,15,9,18,0,14,3,24,5,204,11345.0
Newtonbrook East,50,95,46,9,27,0,14,1,37,8,237,15345.0
Newtonbrook West,36,202,96,17,35,0,17,0,81,9,457,23805.0
Niagara,325,259,25,91,92,0,18,3,90,23,601,33085.0
North Riverdale,68,57,13,17,32,1,5,1,32,0,158,11290.0
North St.James Town,74,265,20,25,45,0,16,3,40,3,417,
O'Connor-Parkview,54,115,43,7,38,1,12,2,65,2,285,18405.0
Oakridge,121,190,20,8,28,0,22,3,66,5,342,13705.0
Oakwood Village,107,98,28,11,35,0,12,3,55,8,250,20710.0
Old East York,58,38,19,4,6,0,8,0,21,5,101,9160.0
Palmerston-Little Italy,80,72,10,28,32,1,9,0,22,0,174,13120.0
Parkwoods-Donalda,299,138,53,8,37,1,24,4,74,5,344,34475.0
Pelmo Park-Humberlea,23,57,67,3,12,2,4,2,48,2,197,11290.0
Playter Estates-Danforth,67,57,8,26,41,0,12,1,34,2,181,7680.0
Pleasant View,46,26,14,8,17,0,9,0,73,6,153,15220.0
Princess-Rosethorn,10,25,23,5,11,0,2,1,33,2,102,11170.0
Regent Park,72,185,9,14,32,1,16,2,22,6,287,12750.0
Rexdale-Kipling,4,49,41,2,29,0,10,1,55,2,189,10375.0
Rockcliffe-Smythe,111,139,47,11,35,1,16,12,42,5,308,22235.0
Roncesvalles,86,107,18,24,67,0,12,4,43,8,283,14610.0
Rosedale-Moore Park,98,157,73,54,64,1,29,1,34,8,421,20080.0
Rouge,287,155,114,7,47,2,19,9,85,11,449,45610.0
Runnymede-Bloor West Village,89,26,22,7,12,0,6,0,24,8,105,10120.0
Rustic,28,76,16,0,7,2,6,8,13,0,128,9390.0
Scarborough Village,139,120,26,5,22,0,15,3,62,6,259,16520.0
South Parkdale,85,257,17,32,63,0,20,3,50,6,448,20495.0
South Riverdale,70,224,48,94,135,2,31,2,124,21,681,27815.0
St.Andrew-Windfields,40,53,65,14,33,0,2,0,63,7,237,16960.0
Steeles,116,49,45,0,17,0,7,1,27,2,148,22765.0
Stonegate-Queensway,16,78,70,5,30,1,18,0,58,7,267,25650.0
Tam O'Shanter-Sullivan,118,119,59,7,15,0,11,5,58,5,279,27205.0
Taylor-Massey,61,116,20,17,16,0,10,2,54,10,245,15025.0
The Beaches,63,93,30,21,39,0,17,0,48,7,255,21510.0
Thistletown-Beaumond Heights,3,61,44,1,8,0,6,1,40,2,163,9850.0
Thorncliffe Park,55,118,16,17,35,0,14,3,35,0,238,20400.0
Trinity-Bellwoods,81,128,20,40,49,0,21,2,28,8,296,15415.0
University,79,95,9,62,32,0,10,1,21,5,235,6435.0
Victoria Village,43,95,40,3,22,0,8,3,64,5,240,17365.0
Waterfront Communities-The Island,495,974,104,323,352,1,85,14,232,51,2136,84990.0
West Hill,136,328,75,18,70,0,43,5,141,4,684,28140.0
West Humber-Clairville,1,242,498,12,98,1,53,5,378,54,1341,33300.0
Westminster-Branson,35,89,61,17,25,0,8,2,59,7,268,25705.0
Weston,113,204,60,6,36,0,25,4,70,5,410,18675.0
Weston-Pelham Park,91,92,16,2,23,0,6,4,17,1,161,10680.0
Wexford/Maryvale,119,216,92,10,70,2,28,5,139,15,577,28345.0
Willowdale East,303,125,84,25,45,0,35,1,132,14,461,35645.0
Willowdale West,190,130,62,39,33,0,34,0,91,14,403,30950.0
Willowridge-Martingrove-Richview,7,58,58,6,22,2,6,3,54,3,212,22445.0
Woburn,283,364,107,6,55,2,33,20,139,13,739,53665.0
Woodbine Corridor,64,73,13,19,31,1,8,0,33,2,180,12205.0
Woodbine-Lumsden,60,33,9,3,11,0,2,0,32,0,90,7915.0
Wychwood,94,56,13,13,33,0,5,1,13,2,136,12800.0
Yonge-Eglinton,100,64,28,14,31,0,4,0,22,2,165,12410.0
Yonge-St.Clair,97,51,13,12,30,0,5,0,23,3,137,12905.0
York University Heights,27,332,174,18,114,6,40,14,200,32,930,28255.0
Yorkdale-Glen Park,31,162,96,29,63,1,17,9,112,21,510,16625.0
