Reconciled_Neighbourhood,total_population_2016,low_income_percent_2016,is_improvement_area_2016,total_population_2021,low_income_percent_2021,is_improvement_area_2021,population_change,population_percent_change,low_income_percent_change
West Humber-Clairville,33312,15.8,0,33300,8.7,0.0,-12,-0.03602305475504323,-7.100000000000001
Westminster-Branson,26274,24.4,0,25705,13.7,0.0,-569,-2.165639034787242,-10.7
Weston,17992,29.6,1,18675,18.6,1.0,683,3.7961316140506893,-11.0
Weston-Pelham Park,11098,20.4,1,10680,13.1,1.0,-418,-3.7664444043971885,-7.299999999999999
Wexford/Maryvale,27917,19.2,0,28345,11.6,0.0,428,1.5331160224952538,-7.6
Willowdale East,50434,30.3,0,35645,20.067232430915976,0.0,-14789,-29.323472260776462,-10.232767569084025
Willowdale West,16936,27.1,0,30950,18.932665589660743,0.0,14014,82.74681152574398,-8.167334410339258
Willowridge-Martingrove-Richview,22156,15.0,0,22445,9.5,0.0,289,1.3043870734789673,-5.5
Woburn,53485,27.2,1,53665,15.752352557532843,1.0,180,0.3365429559689633,-11.447647442467156
Woodbine Corridor,12541,15.8,0,12205,11.1,0.0,-336,-2.6792121840363605,-4.700000000000001
Woodbine-Lumsden,7865,15.2,0,7915,10.0,0.0,50,0.6357279084551812,-5.199999999999999
Wychwood,14349,16.7,0,12800,11.2,0.0,-1549,-10.795177364276256,-5.5
Yonge-Eglinton,11817,12.0,0,12410,10.5,0.0,593,5.018194127105018,-1.5
Yonge-St.Clair,12528,12.9,0,12905,9.8,0.0,377,3.009259259259259,-3.0999999999999996
York University Heights,27593,24.4,1,28255,13.8,1.0,662,2.399159207045265,-10.599999999999998
Yorkdale-Glen Park,14804,16.8,0,16625,12.2,0.0,1821,12.300729532558769,-4.600000000000001
