AREA_NAME,HOOD_ID,ASSAULT_2020,ASSAULT_RATE_2020,AUTOTHEFT_2020,AUTOTHEFT_RATE_2020,BIKETHEFT_2020,BIKETHEFT_RATE_2020,BREAKENTER_2020,BREAKENTER_RATE_2020,HOMICIDE_2020,ASSAULT_2020,HOMICIDE_RATE_2020,ROBBERY_2020,ROBBERY_RATE_2020,SHOOTING_2020,SHOOTING_RATE_2020,THEFTFROMMV_2020,THEFTFROMMV_RATE_2020,THEFTOVER_2020,THEFTOVER_RATE_2020,TOTAL_CRIME_COUNT
Wellington Place,164,281,1098.43,39,152.45,116,453.44,179,699.71,1,281,3.91,24,93.82,3,11.73,139,543.35,24,93.82,1087
Fort York-Liberty Village,163,93,448.67,16,77.19,66,318.41,46,221.92,0,93,0.0,14,67.54,1,4.82,44,212.27,4,19.3,377
West Queen West,162,96,671.05,12,83.88,81,566.2,63,440.37,1,96,6.99,8,55.92,0,0.0,39,272.61,7,48.93,403
Humber Bay Shores,161,82,385.16,19,89.24,38,178.49,19,89.24,0,82,0.0,8,37.58,1,4.7,28,131.52,11,51.67,288
Mimico-Queensway,160,205,1036.77,32,161.84,9,45.52,34,171.95,1,205,5.06,3,15.17,1,5.06,47,237.7,8,40.46,545
Etobicoke City Centre,159,142,584.7,102,420.0,17,70.0,56,230.59,0,142,0.0,19,78.23,3,12.35,148,609.4,23,94.7,652
Islington,158,79,324.53,50,205.4,13,53.4,43,176.64,0,79,0.0,16,65.73,1,4.11,72,295.77,7,28.76,360
Bendale South,157,79,705.23,8,71.42,0,0.0,11,98.2,0,79,0.0,3,26.78,3,26.78,24,214.25,1,8.93,208
Caledonia-Fairbank,109,50,481.42,8,77.03,4,38.51,10,96.28,0,50,0.0,7,67.4,2,19.26,19,182.94,2,19.26,152
Briar Hill-Belgravia,108,83,551.42,39,259.1,13,86.37,46,305.61,0,83,0.0,10,66.44,2,13.29,66,438.48,8,53.15,350
Oakwood Village,107,116,536.02,24,110.9,13,60.07,32,147.87,2,116,9.24,22,101.66,6,27.73,48,221.8,3,13.86,382
Humewood-Cedarvale,106,42,288.7,26,178.72,29,199.34,49,336.82,0,42,0.0,6,41.24,0,0.0,62,426.18,6,41.24,262
Lawrence Park North,105,46,303.91,23,151.96,17,112.32,19,125.53,0,46,0.0,12,79.28,0,0.0,46,303.91,1,6.61,210
Lawrence Park South,103,24,154.65,30,193.31,32,206.2,58,373.74,0,24,0.0,12,77.32,0,0.0,50,322.19,12,77.32,242
Forest Hill North,102,44,341.59,43,333.83,24,186.32,45,349.35,0,44,0.0,17,131.98,0,0.0,57,442.51,7,54.34,281
Forest Hill South,101,25,221.22,38,336.25,23,203.52,33,292.01,0,25,0.0,5,44.24,0,0.0,47,415.89,6,53.09,202
Yonge-Eglinton,100,91,712.61,17,133.12,38,297.57,34,266.25,0,91,0.0,9,70.48,0,0.0,42,328.9,7,54.82,329
Mount Pleasant East,99,42,248.2,19,112.28,36,212.74,37,218.65,0,42,0.0,15,88.64,0,0.0,53,313.2,4,23.64,248
Rosedale-Moore Park,98,159,756.89,52,247.54,76,361.78,100,476.03,0,159,0.0,26,123.77,1,4.76,51,242.78,10,47.6,634
Yonge-St.Clair,97,23,170.69,9,66.79,25,185.53,27,200.37,0,23,0.0,4,29.68,0,0.0,20,148.42,3,22.26,134
Casa Loma,96,65,557.37,20,171.5,24,205.8,36,308.69,0,65,0.0,3,25.72,0,0.0,29,248.67,7,60.02,249
Annex,95,277,868.5,39,122.28,169,529.88,204,639.62,0,277,0.0,43,134.82,0,0.0,138,432.68,32,100.33,1179
Wychwood,94,84,581.44,26,179.97,20,138.44,45,311.48,1,84,6.92,19,131.52,2,13.84,34,235.34,1,6.92,316
Corso Italia-Davenport,92,87,624.6,12,86.15,16,114.87,41,294.35,1,87,7.18,12,86.15,5,35.9,46,330.25,6,43.08,313
Weston-Pelham Park,91,102,905.14,19,168.6,6,53.24,30,266.22,0,102,0.0,4,35.5,4,35.5,36,319.46,3,26.62,306
Junction Area,90,103,701.87,36,245.32,21,143.1,51,347.53,0,103,0.0,12,81.77,0,0.0,52,354.34,6,40.89,384
Oakridge,121,158,1096.23,21,145.7,6,41.63,36,249.77,1,158,6.94,26,180.39,8,55.51,48,333.03,4,27.75,466
Clairlea-Birchmount,120,191,669.87,52,182.37,4,14.03,59,206.92,1,191,3.51,31,108.72,2,7.01,110,385.79,6,21.04,647
Wexford/Maryvale,119,168,571.84,89,302.94,12,40.85,81,275.71,1,168,3.4,29,98.71,3,10.21,133,452.7,11,37.44,695
Tam O'Shanter-Sullivan,118,132,464.02,38,133.58,13,45.7,54,189.83,1,132,3.52,18,63.28,2,7.03,57,200.37,3,10.55,450
Steeles,116,39,162.32,29,120.7,0,0.0,25,104.05,0,39,0.0,6,24.97,2,8.32,20,83.24,1,4.16,161
Mount Dennis,115,72,519.41,24,173.14,1,7.21,22,158.71,1,72,7.21,19,137.07,1,7.21,41,295.77,3,21.64,256
Lambton Baby Point,114,31,377.36,11,133.9,10,121.73,13,158.25,0,31,0.0,1,12.17,0,0.0,16,194.77,2,24.35,115
Weston,113,204,1047.66,78,400.58,10,51.36,24,123.25,3,204,15.41,27,138.66,5,25.68,88,451.93,10,51.36,653
Beechborough-Greenbrook,112,52,779.14,15,224.75,0,0.0,7,104.88,0,52,0.0,4,59.93,1,14.98,21,314.65,3,44.95,155
Rockcliffe-Smythe,111,126,548.18,62,269.74,1,4.35,37,160.97,2,126,8.7,14,60.91,5,21.75,66,287.14,4,17.4,443
Keelesdale-Eglinton West,110,79,672.51,23,195.79,5,42.56,23,195.79,0,79,0.0,11,93.64,2,17.03,31,263.9,3,25.54,256
Palmerston-Little Italy,80,51,366.8,15,107.88,63,453.11,48,345.22,0,51,0.0,6,43.15,0,0.0,49,352.42,4,28.77,287
University,79,84,1059.27,6,75.66,65,819.67,60,756.62,0,84,0.0,12,151.32,0,0.0,57,718.79,5,63.05,373
Kensington-Chinatown,78,416,2140.47,58,298.43,101,519.68,174,895.29,1,416,5.15,41,210.96,6,30.87,195,1003.34,27,138.92,1435
North St.James Town,74,228,1167.91,28,143.43,47,240.75,60,307.35,0,228,0.0,36,184.41,1,5.12,78,399.55,9,46.1,715
Moss Park,73,751,3176.82,39,164.97,107,452.62,202,854.48,2,751,8.46,132,558.38,5,21.15,166,702.2,16,67.68,2171
Regent Park,72,150,1155.54,11,84.74,30,231.11,28,215.7,1,150,7.7,16,123.26,7,53.92,42,323.55,4,30.81,439
Cabbagetown-South St.James Town,71,137,1169.34,15,128.03,49,418.23,70,597.47,1,137,8.54,15,128.03,0,0.0,55,469.44,3,25.61,482
South Riverdale,70,214,729.06,40,136.27,112,381.56,143,487.17,0,214,0.0,36,122.65,3,10.22,137,466.73,22,74.95,921
Blake-Jones,69,57,729.55,7,89.59,20,255.98,27,345.58,0,57,0.0,4,51.2,2,25.6,26,332.78,5,64.0,205
North Riverdale,68,34,283.97,13,108.58,36,300.68,34,283.97,0,34,0.0,15,125.28,0,0.0,37,309.03,2,16.7,205
Playter Estates-Danforth,67,75,952.99,7,88.95,32,406.61,50,635.32,0,75,0.0,7,88.95,1,12.71,31,393.9,7,88.95,285
Danforth,66,62,635.77,9,92.29,40,410.17,40,410.17,1,62,10.25,17,174.32,1,10.25,60,615.26,2,20.51,294
Greenwood-Coxwell,65,118,800.71,28,190.0,56,380.0,41,278.21,0,118,0.0,22,149.28,2,13.57,98,664.99,4,27.14,487
Woodbine Corridor,64,71,557.21,11,86.33,31,243.29,34,266.83,1,71,7.85,6,47.09,0,0.0,54,423.8,4,31.39,283
The Beaches,63,87,391.22,23,103.43,47,211.35,64,287.8,0,87,0.0,6,26.98,0,0.0,60,269.81,10,44.97,384
East End-Danforth,62,145,639.53,28,123.49,49,216.12,61,269.04,0,145,0.0,27,119.08,2,8.82,111,489.57,5,22.05,573
Taylor-Massey,61,112,710.66,14,88.83,17,107.87,31,196.7,0,112,0.0,27,171.32,3,19.04,56,355.33,8,50.76,380
