Feature,Coefficient,Absolute Impact
Working_Age_Ratio,397.0035891922007,397.0035891922007
Youth_Ratio,368.99177010355504,368.99177010355504
Senior_Ratio,339.5478234439212,339.5478234439212
Average_Age,19.957100983283016,19.957100983283016
Median_Age,17.61534995394542,17.61534995394542
Total_Population,0.026693745978396275,0.026693745978396275
Median_Income_2020,-0.017064586812787573,0.017064586812787573
Average_Income_2020,0.005288998354969754,0.005288998354969754
