AREA_NAME,HOOD_ID,ASSAULT_2016,ASSAULT_RATE_2016,AUTOTHEFT_2016,AUTOTHEFT_RATE_2016,BIKETHEFT_2016,BIKETHEFT_RATE_2016,BREAKENTER_2016,BREAKENTER_RATE_2016,HOMICIDE_2016,HOMICIDE_RATE_2016,ROBBERY_2016,ROBBERY_RATE_2016,SHOOTING_2016,SHOOTING_RATE_2016,THEFTFROMMV_2016,THEFTFROMMV_RATE_2016,THEFTOVER_2016,THEFTOVER_RATE_2016,TOTAL_CRIME_COUNT
South Eglinton-Davisville,174,66,343.02,3,15.59,27,140.33,25,129.93,1,5.2,8,41.58,1,5.2,11,57.17,4,20.79,146
North Toronto,173,47,406.33,2,17.29,9,77.81,15,129.68,0,0.0,8,69.16,0,0.0,15,129.68,2,17.29,98
Dovercourt Village,172,92,680.42,18,133.13,55,406.77,38,281.04,0,0.0,16,118.33,2,14.79,51,377.19,5,36.98,277
Junction-Wallace Emerson,171,171,698.33,12,49.01,50,204.19,41,167.44,0,0.0,27,110.26,1,4.08,48,196.02,6,24.5,356
Yonge-Bay Corridor,170,481,4127.69,20,171.63,202,1733.46,60,514.89,0,0.0,73,626.45,0,0.0,77,660.77,27,231.7,940
Bay-Cloverhill,169,122,795.93,6,39.14,97,632.83,59,384.92,0,0.0,19,123.96,0,0.0,25,163.1,13,84.81,341
Bendale-Glen Andrew,156,174,876.13,42,211.48,4,20.14,30,151.06,2,10.07,49,246.73,3,15.11,45,226.59,8,40.28,357
Downsview,155,128,807.67,38,239.78,9,56.79,28,176.68,0,0.0,13,82.03,2,12.62,61,384.91,3,18.93,282
Oakdale-Beverley Heights,154,230,1135.41,51,251.76,7,34.56,24,118.48,0,0.0,34,167.84,3,14.81,43,212.27,8,39.49,400
Avondale,153,37,259.5,5,35.07,14,98.19,7,49.1,0,0.0,1,7.01,0,0.0,14,98.19,5,35.07,83
East Willowdale,152,56,346.64,32,198.08,14,86.66,54,334.26,0,0.0,14,86.66,0,0.0,35,216.65,3,18.57,208
Yonge-Doris,151,73,334.0,4,18.3,21,96.08,12,54.9,0,0.0,22,100.66,0,0.0,15,68.63,6,27.45,153
Fenside-Parkwoods,150,120,561.72,17,79.58,8,37.45,24,112.34,0,0.0,22,102.98,2,9.36,44,205.96,2,9.36,239
Parkwoods-O'Connor Hills,149,52,359.46,11,76.04,1,6.91,22,152.08,0,0.0,11,76.04,2,13.83,44,304.16,1,6.91,144
East L'Amoreaux,148,82,366.74,13,58.14,2,8.94,20,89.45,1,4.47,17,76.03,2,8.94,28,125.23,2,8.94,167
