neighbourhood_name,neighbourhood_id,tsns_designation,total_population,low_income_percent,is_improvement_area
Lansing-Westgate,38,No Designation,16164,17.6,0
Lawrence Park North,105,No Designation,14607,6.7,0
Lawrence Park South,103,No Designation,15179,7.3,0
Leaside-Bennington,56,No Designation,16828,6.9,0
Little Portugal,84,No Designation,15559,15.6,0
Long Branch,19,No Designation,10084,17.6,0
Malvern,132,Emerging Neighbourhood,43794,20.4,0
Maple Leaf,29,No Designation,10111,15.2,0
Markland Wood,12,No Designation,10554,8.3,0
Milliken,130,No Designation,26572,22.1,0
Mimico (includes Humber Bay Shores),17,No Designation,33964,18.2,0
Morningside,135,NIA,17455,23.8,1
Moss Park,73,No Designation,20506,31.9,0
Mount Dennis,115,NIA,13593,25.3,1
Mount Olive-Silverstone-Jamestown,2,NIA,32954,27.9,1
Mount Pleasant East,99,No Designation,16775,10.3,0
Mount Pleasant West,104,No Designation,29658,20.8,0
New Toronto,18,No Designation,11463,24.8,0
Newtonbrook East,50,No Designation,16097,27.4,0
Newtonbrook West,36,No Designation,23831,26.3,0
Niagara,82,No Designation,31180,13.7,0
North Riverdale,68,No Designation,11916,10.9,0
North St. James Town,74,No Designation,18615,36.5,0
Oakridge,121,NIA,13845,42.6,1
Oakwood Village,107,No Designation,21210,18.6,0
O'Connor-Parkview,54,No Designation,18675,22.5,0
Old East York,58,No Designation,9233,13.5,0
Palmerston-Little Italy,80,No Designation,13826,13.8,0
Parkwoods-Donalda,45,No Designation,34805,20.6,0
Pelmo Park-Humberlea,23,No Designation,10722,11.4,0
Playter Estates-Danforth,67,No Designation,7804,13.6,0
Pleasant View,46,No Designation,15818,17.5,0
Princess-Rosethorn,10,No Designation,11051,7.2,0
Regent Park,72,NIA,10803,42.3,1
Rexdale-Kipling,4,No Designation,10529,18.6,0
Rockcliffe-Smythe,111,NIA,22246,22.8,1
Roncesvalles,86,No Designation,14974,19.9,0
Rosedale-Moore Park,98,No Designation,20923,10.2,0
Rouge,131,No Designation,46496,9.5,0
Runnymede-Bloor West Village,89,No Designation,10070,6.9,0
Rustic,28,NIA,9941,31.7,1
Scarborough Village,139,NIA,16724,32.4,1
South Parkdale,85,NIA,21849,30.5,1
South Riverdale,70,No Designation,27876,18.7,0
St.Andrew-Windfields,40,No Designation,17812,15.9,0
Steeles,116,Emerging Neighbourhood,24623,21.0,0
Stonegate-Queensway,16,No Designation,25051,11.6,0
Tam O'Shanter-Sullivan,118,No Designation,27446,23.8,0
Taylor-Massey,61,NIA,15683,32.9,1
The Beaches,63,No Designation,21567,9.4,0
Thistletown-Beaumond Heights,3,NIA,10360,17.8,1
Thorncliffe Park,55,NIA,21108,45.5,1
Trinity-Bellwoods,81,No Designation,16556,14.7,0
University,79,No Designation,7607,22.4,0
Victoria Village,43,NIA,17510,25.9,1
Waterfront Communities-The Island,77,No Designation,65913,16.5,0
West Hill,136,NIA,27392,25.2,1
West Humber-Clairville,1,No Designation,33312,15.8,0
Westminster-Branson,35,Emerging Neighbourhood,26274,24.4,0
Weston,113,NIA,17992,29.6,1
Weston-Pelham Park,91,NIA,11098,20.4,1
Wexford/Maryvale,119,No Designation,27917,19.2,0
Willowdale East,51,No Designation,50434,30.3,0
Willowdale West,37,No Designation,16936,27.1,0
Willowridge-Martingrove-Richview,7,No Designation,22156,15.0,0
Woburn,137,NIA,53485,27.2,1
Woodbine Corridor,64,No Designation,12541,15.8,0
Woodbine-Lumsden,60,No Designation,7865,15.2,0
Wychwood,94,No Designation,14349,16.7,0
Yonge-Eglinton,100,No Designation,11817,12.0,0
Yonge-St.Clair,97,No Designation,12528,12.9,0
York University Heights,27,NIA,27593,24.4,1
Yorkdale-Glen Park,31,Emerging Neighbourhood,14804,16.8,0
