Year, Crime_Type , Predictor         , Coefficient          , Intercept          , R_squared            , Adjusted_R_squared   , MSE                , RMSE              , MAE                , Shapiro_p_value       , BP_p_value            , Durbin_Watson     , F_statistic         , F_p_value             , AIC               , BIC
2016, ASSAULT    , low_income_percent, 5.259220039258802    , 7.370947662103191  , 0.24996972134342266  , 0.24382193217410653  , 5288.092918583088  , 72.71927473911637 , 49.55416559021192  , 7.811474128878e-10    , 0.0002977906373761875 , 1.8111067552502766, 40.660099827597975  , 3.3789815817301234e-09, 1418.9751624030403, 1424.6157255342503
2016, ASSAULT    , total_population  , 0.00798050328110578  , -26.024453461915556, 0.3541761229632895   , 0.34888248462692295  , 4553.385067235986  , 67.47877493876119 , 46.6326507594902   , 3.044016280664944e-08 , 0.005907409211321722  , 1.530850933040025 , 66.90599176943277   , 3.1192466052178046e-13, 1400.426405798225 , 1406.066968929435
2016, AUTOTHEFT  , low_income_percent, 0.1498951083111869   , 18.632910322107282 , 0.0014724013696154614, -0.006712251078174525,  970.8983997216895 , 31.159242605071285, 14.035367048857088 , 3.1876150642255704e-20, 0.7497652601278575    , 1.9966347073742852,  0.17989784893224867, 0.6722079940626642    , 1208.7962629231993, 1214.4368260544093
2016, AUTOTHEFT  , total_population  , 0.0022094119283791115, -15.806137300535163, 0.19684241134774505  , 0.19025915242436586  ,  780.9342662299821 , 27.94520113060527 , 12.861005017116891 , 6.945493062641714e-19 , 0.003533078084650666  , 2.1359890304653746, 29.90045107426934   , 2.4568094732712466e-07, 1181.7976377719604, 1187.4382009031704
2016, BIKETHEFT  , low_income_percent, 0.19760722099347638  , 15.696476200224218 , 0.00317423799896166  , -0.004996464968259895,  781.3585931475604 , 27.952792224526704, 18.45500350667111  , 1.7439721952631695e-15, 0.18470750854167506   , 2.1042993778617727,  0.3884901962163799 , 0.5342575919528314    , 1181.8649958716376, 1187.5055590028476
2016, BIKETHEFT  , total_population  , 0.0006699909458743468, 8.187865075719333  , 0.022453586899277567 , 0.014440911382058497 ,  766.2465389573557 , 27.681158555186155, 18.11370244859209  , 8.322367267639917e-15 , 0.18505329572540374   , 2.080227175163845 ,  2.8022583531587597 , 0.09669356282875378   , 1179.4432485621214, 1185.0838116933314
2016, BREAKENTER , low_income_percent, 0.3078001422507921   , 35.03067435293996  , 0.008967549205806224 , 0.0008443323960177773,  667.1396364712871 , 25.829046371697252, 18.92027964099095  , 1.6780060329361594e-09, 0.5664950415197012    , 1.9833852439795274,  1.1039406451641864 , 0.29547969611693625   , 1162.2686786153317, 1167.9092417465417
2016, BREAKENTER , total_population  , 0.0025533527513516238, -2.173829700679839 , 0.3797272524746861   , 0.37464304962611794  ,  417.55296203011966, 20.43411270474252 , 14.51109823245284  , 1.829997123962123e-05 , 8.523402193236871e-06 , 2.1425844230964968, 74.68766762160719   , 2.5711782224464842e-14, 1104.163768769281 , 1109.804331900491
2016, ROBBERY    , low_income_percent, 0.885173129159367    , 5.660023465134081  , 0.12063921259208155  , 0.11343133728545929  ,  363.9150777447143 , 19.07655833070301 , 13.116529082269773 , 8.321810995729902e-11 , 0.007471585660129631  , 2.0636938248632095, 16.737139234531888  , 7.739595755619047e-05 , 1087.1149028870218, 1092.7554660182318
2016, ROBBERY    , total_population  , 0.0018417081034817293, -8.383718263593593 , 0.32135691087600016  , 0.31579426260449195  ,  280.84997202053955, 16.758579057322837, 11.934151775896247 , 6.96494329209112e-08  , 0.002326117298685206  , 1.8816905101329702, 57.770489017252046  , 6.72037844318396e-12  , 1054.9865130346825, 1060.6270761658925
2016, THEFTFROMMV, low_income_percent, 1.730756142450193    , 15.865947245867972 , 0.061046882692151305 , 0.05335054566503783  , 2935.737252946895  , 54.18244413965556 , 29.342195024115494 , 2.0761815702535986e-17, 0.05238637473202724   , 2.1290976849994223,  7.931939892586359  , 0.005666284207785911  , 1346.00127911887  , 1351.64184225008
2016, THEFTFROMMV, total_population  , 0.0034598832160816434, -9.208354232619449 , 0.15011656019725128  , 0.1431503024939501   , 2657.251388701176  , 51.54853430216203 , 24.923648011877894 , 5.618556334653729e-19 , 0.598799672921393     , 2.1079637378596368, 21.549096601194208  , 8.761836414029449e-06 , 1333.6426530574813, 1339.2832161886913
2016, THEFTOVER  , low_income_percent, 0.11966099711672891  , 3.5144744120661917 , 0.02234917422013205  , 0.01433564286128064  ,   39.91099267312846,  6.31751475448443 ,  3.841050697238904 , 7.52927618769278e-15  , 0.817951486928953     , 1.4700757252092667,  2.7889295267368204 , 0.09748142859904123   ,  813.0415783861297,  818.6821415173398
2016, THEFTOVER  , total_population  , 0.0005178002427290073, -2.92619731083847  , 0.2575103808194559   , 0.2514244003343694   ,   30.31092182359701,  5.505535561922837,  3.5542421656706558, 1.6150442995713276e-12, 0.0006289860715641925 , 1.5443334220580236, 42.31206154053234   , 1.7989056580275405e-09,  778.9237611048316,  784.5643242360417
2021, ASSAULT    , low_income_percent, 11.875774725708615   , -32.87687607238696 , 0.29247726696676934  , 0.2878225121441823   , 7046.378117742704  , 83.9427073529482  , 58.12301912813082  , 6.755332284798513e-10 , 3.1607922904120574e-07, 1.6167740254409133, 62.83408645876103   , 4.476638246250833e-13 , 1805.5144975582807, 1811.588402763108
2021, ASSAULT    , total_population  , 0.007973392582077772 , -18.91619383468141 , 0.24360039423988122  , 0.23862408104409094  , 7533.153892380978  , 86.7937433942158  , 55.4654768425677   , 7.568532599649017e-14 , 0.13503122032136472   , 1.110892342842793 , 48.95198205087987   , 7.828962877037614e-11 , 1815.8017060408613, 1821.8756112456886
