Year,Predictor,R_squared_mean,R_squared_min,R_squared_max,Adjusted_R_squared_mean,Adjusted_R_squared_min,Adjusted_R_squared_max,RMSE_mean,RMSE_min,RMSE_max,MAE_mean,MAE_min,MAE_max,Shapiro_p_value_mean,Shapiro_p_value_min,Shapiro_p_value_max,BP_p_value_mean,BP_p_value_min,BP_p_value_max,Durbin_Watson_mean,Durbin_Watson_min,Durbin_Watson_max
2016,low_income_percent,0.06680273991745299,0.0014724013696154614,0.24996972134342266,0.059153582047923946,-0.006712251078174525,0.24382193217410653,33.89098188075066,6.31751475448443,72.71927473911637,21.037798655765034,3.841050697238904,49.55416559021192,3.6319726426047614e-10,3.1876150642255704e-20,1.6780060329361594e-09,0.33986786402110286,0.0002977906373761875,0.817951486928953,1.9368990456482515,1.4700757252092667,2.1290976849994223
2016,total_population,0.24031188936824366,0.022453586899277567,0.3797272524746861,0.2340849376417538,0.014440911382058497,0.37464304962611794,31.05027089295755,5.505535561922837,67.47877493876119,18.9329283444424,3.5542421656706558,46.6326507594902,2.6285803512452445e-06,5.618556334653729e-19,1.829997123962123e-05,0.11375101181645883,8.523402193236871e-06,0.598799672921393,1.9176627474023389,1.530850933040025,2.1425844230964968
2021,low_income_percent,0.11653591450902323,0.008152221486830147,0.29247726696676934,0.11072365078868784,0.0016269071545066405,0.2878225121441823,35.38223227105939,7.446928823389719,83.9427073529482,22.64126105484196,4.542512049872367,58.12301912813082,9.657736077770795e-11,3.3211087792579405e-20,6.755332284798513e-10,0.25001217866055203,3.1607922904120574e-07,0.8398228077398618,1.5131724688776296,1.067168142392094,1.9177558110299646
2021,total_population,0.19692248908181048,0.03386888294451773,0.3242009548958472,0.1916390844047171,0.027512757174415814,0.3197549085464777,34.080169873177525,6.811273187116934,86.7937433942158,21.131149662571524,4.256146194511955,55.4654768425677,3.5516041839318487e-13,1.6860857875529506e-19,2.3466623354705158e-12,0.06789039203749452,0.00026316659300461157,0.19866908208710385,1.3472600933237047,0.8284214534937034,1.641743069016737
