Crime Type,Correlation with Income_Count,Correlation with Income_Rate
BIKETHEFT,0.3970199239233493,0.3921565655783675
AUTOTHEFT,-0.237624329696459,-0.22260885532429617
BREAKENTER,0.18714152190789562,0.2660734763805126
ASSAULT,-0.1698287015794016,-0.15297449090171636
THEFTFROMMV,-0.14253662613527313,-0.07995885845105255
ROBBERY,-0.1399520486609015,-0.09497459468907103
THEFTOVER,-0.01940466283992064,0.04265448271030366
