Crime Type,Correlation with Income
Bike Theft Rate,0.3921565655783675
Break & Enter Rate,0.2660734763805126
Auto Theft Rate,-0.22260885532429617
Assault Rate,-0.15297449090171636
Robbery Rate,-0.09497459468907103
Theft from Vehicle Rate,-0.07995885845105255
Theft Over Rate,0.04265448271030366
