Crime Type,Correlation with Low Income %
ASSAULT,0.4999697204265703
ROBBERY,0.34733156002886006
THEFTFROMMV,0.24707667371112005
THEFTOVER,0.14949640203072434
BREAKENTER,0.09469714465497979
BIKETHEFT,0.056340376276358614
AUTOTHEFT,0.038371882539372404
