Income_Group,ASSAULT,AUTOTHEFT,BIKETHEFT,BREAKENTER,ROBBERY,THEFTFROMMV,THEFTOVER
Very High,311.6632,90.0552,113.84119999999999,236.4316,81.0708,235.0668,25.612399999999997
High,512.1324,132.05960000000002,128.9068,230.72439999999997,108.1248,230.1336,33.4232
Medium,633.9045833333333,134.95333333333335,108.59249999999999,258.21625,124.50416666666666,278.5370833333333,39.337916666666665
Low,639.2588000000001,123.9416,127.16799999999999,222.9292,141.054,264.6984,29.507599999999996
Very Low,948.1236,99.262,119.0756,226.136,180.68439999999998,375.72720000000004,32.6616
