Income_Group,Assault Rate,Auto Theft Rate,Bike Theft Rate,Break & Enter Rate,Robbery Rate,Theft from Vehicle Rate,Theft Over Rate
Very Low,720.2771875,235.4859375,50.994375,179.50125,96.4328125,351.9496875,41.516875
Low,587.6243333333333,251.58333333333334,44.13066666666667,175.007,91.64166666666667,354.2196666666667,37.681333333333335
Medium,622.2753125,158.3290625,175.123125,275.8375,97.8815625,347.6240625,40.051875
High,648.5453333333334,179.16,205.949,298.0563333333333,108.60966666666667,390.4103333333333,42.858
Very High,464.57166666666666,142.734,243.83766666666668,300.57,68.43133333333334,302.36733333333336,44.699
